program,course_code,title,category,academic_year,semester,credits,language,course_url,description,skills_tags,type_of_exam
Business Administration / Economics / Law & Economics,6.143,Investments,Core elective (business economics),2026.0,Spring,4.0,English,"https://tools.unisg.ch/handlers/Public/CourseInformationSheet.ashx/semester/FS26/eventnumber/6,143,1.00.pdf","Course on financial investments focusing on risk and return, portfolio theory, and asset management. Covers valuation of securities, capital market theory, investment strategies, and performance evaluation. Emphasizes practical understanding of financial markets, asset allocation, and investment decision-making.","investments, financial markets, portfolio theory, asset management, CAPM, valuation, risk management, asset allocation, investment strategies, performance evaluation, behavioral finance, ESG investing, asset pricing, risk return, factor models, security valuation, market efficiency, alternative investments",decentral exam (100%)
Economics,6.151,Financial Statement Analysis & Corporate Valuation,Core elective (business economics),2026.0,Spring,4.0,English,"https://tools.unisg.ch/handlers/Public/CourseInformationSheet.ashx/semester/FS26/eventnumber/6,151,1.00.pdf","Course on financial statement analysis and corporate valuation focusing on practical applications in finance. Covers analysis of financial statements, forecasting, cost of capital, and valuation methods such as DCF, dividend discount models, and multiples. Emphasizes building financial models in Excel and integrating accounting and ESG factors into company valuation","financial analysis, corporate valuation, financial statements, DCF, multiples, dividend discount model, cost of capital, forecasting, excel, accounting, ESG, financial modeling, equity analysis",quiz (25%) + quiz (75%)
Business Administration / Economics,6.156,Introduction to Financial Derivatives,Core elective (business economics),2026.0,Spring,4.0,English,"https://tools.unisg.ch/handlers/Public/CourseInformationSheet.ashx/semester/FS26/eventnumber/6,156,1.00.pdf","Course on financial derivatives focusing on instruments such as forwards, futures, options, and swaps. Covers pricing models including binomial trees and Black-Scholes, as well as trading and hedging strategies. Emphasizes practical applications of derivatives in financial markets and risk management","derivatives, options, futures, forwards, swaps, financial markets, hedging, trading strategies, option pricing, black scholes, binomial model, risk management, financial engineering, pricing",group presentation (25%) + decentral exam (75%)
Business Administration / Economics,6.244,Introduction to Market Design,Core elective (business economics),2026.0,Spring,4.0,English,"https://tools.unisg.ch/handlers/Public/CourseInformationSheet.ashx/semester/FS26/eventnumber/6,244,1.00.pdf","Course on market design focusing on auctions and matching markets. Covers theoretical foundations of auction formats and matching algorithms, as well as their real-world applications in areas such as financial markets, labor markets, and public policy. Emphasizes game-theoretic modeling and the design of efficient market mechanisms","market design, auctions, matching markets, game theory, mechanism design, economic modeling, algorithms, market efficiency, pricing mechanisms, strategic interaction, public policy, applied economics, economics",decentral exam (100%)
Economics,6.245,Introduction to Fixed-Income Markets,Core elective (business economics),2026.0,Spring,4.0,English,"https://tools.unisg.ch/handlers/Public/CourseInformationSheet.ashx/semester/FS26/eventnumber/6,245,1.00.pdf","Course on fixed-income markets focusing on bonds, credit derivatives, and interest rate instruments. Covers pricing and valuation of bonds, duration and convexity, yield curves, and credit risk. Emphasizes practical applications in credit default swaps, risk management, and real-world financial market dynamics","fixed income, bonds, credit derivatives, CDS, valuation, duration, convexity, yield curves, credit risk, interest rates, risk management, financial markets, portfolio management",central exam (100%)
Business Administration / Economics / Law & Economics,6.268,Wettbewerbspolitik: Theorie und Praxis,Core elective (business economics),2026.0,Spring,4.0,German,"https://tools.unisg.ch/handlers/Public/CourseInformationSheet.ashx/semester/FS26/eventnumber/6,268,1.00.pdf","Course on competition policy focusing on the application of microeconomic theory to real-world market regulation. Covers topics such as mergers, cartels, vertical agreements, market dominance, and platform markets. Emphasizes analysis of real cases, critical evaluation of regulatory decisions, and presentation of policy recommendations","competition policy, antitrust, microeconomics, market regulation, mergers, cartels, market power, platform markets, economic analysis, policy evaluation, case analysis, strategic analysis, regulation, market analysis, imperfect competition, horizontal agreements, vertical agreements, merger control, abuse of dominance, network markets, Swiss competition law",group presentation (80%) + active participation (20%)
Business Administration / Economics / Law & Economics,6.272,"Money, Banking and Finance",Core elective (business economics),2026.0,Spring,4.0,English,"https://tools.unisg.ch/handlers/Public/CourseInformationSheet.ashx/semester/FS26/eventnumber/6,272,1.00.pdf","Course on financial markets and institutions focusing on money, banking systems, and financial regulation. Covers topics such as monetary policy, inflation, financial crises, portfolio theory, and asset pricing. Emphasizes understanding the role of financial institutions, market dynamics, and economic policy in shaping financial systems.","financial markets, banking, monetary policy, inflation, financial institutions, CAPM, portfolio theory, financial regulation, financial crises, asset pricing, macroeconomics, economic policy, finance, macro finance, money, cryptocurrencies, CBDC, bonds, stocks, foreign exchange, modern portfolio theory, bank runs",Group presentation (30%) + decentral exam (70%)
Economics,6.306,Business and Politics: A risk perspective,Core elective (business economics),2026.0,Spring,4.0,English,"https://tools.unisg.ch/handlers/Public/CourseInformationSheet.ashx/semester/FS26/eventnumber/6,306,1.00.pdf","Course on the interaction between business and politics focusing on political risk analysis. Covers how government decisions, regulation, and geopolitical developments affect firms and markets. Emphasizes frameworks for identifying, assessing, and managing political risks, using real-world cases and policy analysis","political risk, public policy, business strategy, regulation, geopolitics, risk analysis, policy analysis, international business, stakeholder analysis, governance, strategic decision making",Group presentation (20%) + group written work (80%)
Business Administration / Economics / Law & Economics,6.318,Economics of Climate Change,Core elective (business economics),2026.0,Spring,4.0,English,"https://tools.unisg.ch/handlers/Public/CourseInformationSheet.ashx/semester/FS26/eventnumber/6,318,1.00.pdf","Course on the economics of climate change focusing on environmental impacts, economic costs, and policy solutions. Covers topics such as greenhouse gas mitigation, carbon pricing, emission trading systems, and international environmental agreements. Emphasizes the use of economic tools and game theory to analyze climate policies and global environmental challenges","environmental economics, climate change, carbon pricing, emission trading, sustainability, public policy, game theory, economic analysis, environmental policy, climate mitigation, international agreements, climate policy, climate economics, policy, carbon tax, climate change economics, greenhouse gas emissions, abatement costs, deforestation, international environmental agreements, mitigation",Group presentation (30%) + decentral exam (70%)
Business Administration / Economics / Law & Economics,4.583,Mathematical Tools for Data Science,Core elective (economic data science),2026.0,Spring,4.0,English,"https://tools.unisg.ch/handlers/Public/CourseInformationSheet.ashx/semester/FS26/eventnumber/4,583,1.00.pdf","Course on advanced mathematical foundations for data science, focusing on logic, proof techniques, linear algebra, and probability theory. Covers abstract concepts such as set theory, measure theory, and rigorous mathematical reasoning. Emphasizes the application of mathematical tools to data science and the development of analytical and problem-solving skills","mathematics, linear algebra, probability theory, statistics, logic, proof techniques, set theory, measure theory, analytical thinking, data science, mathematical modeling, probability, sigma algebras, data science foundations",central exam (60%) + group written work (40%)
Business Administration / Economics / Law & Economics,6.121,Data-driven Service Design und Management,Core elective (economic data science),2026.0,Spring,4.0,German,"https://tools.unisg.ch/handlers/Public/CourseInformationSheet.ashx/semester/FS26/eventnumber/6,121,1.00.pdf","Course on data-driven service innovation focusing on digital services, service design, and business model development. Covers topics such as service analytics, platform economy, innovation processes, and value co-creation. Emphasizes practical application through case studies, development of service prototypes, and use of data-driven tools for service management","service design, service innovation, digital transformation, data analytics, platform economy, business models, innovation management, big data, service management, prototyping, value creation, entrepreneurship, innovation, platforms, digital services, data-driven services, value co-creation, service analytics, service engineering, St. Gallen Business Innovation, startup case study",decentral exam (30%) + group written work (30%) + group presentation (40%)
Economics,6.155,Machine Lerning in Finance,Core elective (economic data science),2026.0,Spring,4.0,English,"https://tools.unisg.ch/handlers/Public/CourseInformationSheet.ashx/semester/FS26/eventnumber/6,155,1.00.pdf","Course on machine learning applications in finance, focusing on fundamental algorithms and their use in financial problem-solving. Covers key concepts in machine learning and their implementation using R programming. Emphasizes practical applications in financial data analysis and quantitative finance.","machine learning, data science, finance, R programming, statistical learning, predictive modeling, algorithms, quantitative finance, data analysis, financial modeling, artificial intelligence",decentral exam (70%) + group written work (30%)
Business Administration / Economics / Law & Economics,6.252,Stochastic Methods in Finance,Core elective (economic data science),2026.0,Spring,4.0,English,"https://tools.unisg.ch/handlers/Public/CourseInformationSheet.ashx/semester/FS26/eventnumber/6,252,1.00.pdf","Course on quantitative finance focusing on stochastic methods and mathematical modeling of financial markets. Covers probability theory, stochastic calculus, derivative pricing, and portfolio optimization. Emphasizes no-arbitrage pricing techniques and the application of mathematical tools to asset pricing and risk management","quantitative finance, stochastic calculus, probability theory, derivative pricing, portfolio optimization, arbitrage pricing, risk management, financial modeling, Brownian motion, Ito calculus, asset pricing, derivatives, probability, portfolio theory, quant finance, no-arbitrage, Ito lemma, risk neutral valuation, Markowitz portfolio theory, APT, continuous time finance",decentral exam (50%) + group written work (50%)
Economics,6.27,Tyme Series Analysis,Core elective (economic data science),2026.0,Spring,4.0,English,"https://tools.unisg.ch/handlers/Public/CourseInformationSheet.ashx/semester/FS26/eventnumber/6,270,1.00.pdf","Course on time series analysis focusing on modeling and forecasting temporal data. Covers trend and seasonality decomposition, ARMA and ARIMA models, and statistical estimation techniques. Emphasizes practical applications using R for analyzing and predicting time series data across economics and finance","time series analysis, forecasting, ARMA, ARIMA, statistics, R programming, data analysis, econometrics, trend analysis, seasonality, predictive modeling",decentral oral exam (100%)
Business Administration / Economics / Law & Economics,6.271,Financial Econometrics,Core elective (economic data science),2026.0,Spring,4.0,English,"https://tools.unisg.ch/handlers/Public/CourseInformationSheet.ashx/semester/FS26/eventnumber/6,271,1.00.pdf","Course on financial econometrics focusing on modeling and analyzing financial return data. Covers volatility modeling, ARCH and GARCH models, return predictability, and market microstructure. Emphasizes practical applications using R and statistical techniques for financial data analysis and forecasting","financial econometrics, volatility modeling, ARCH, GARCH, time series, R programming, financial data analysis, forecasting, statistics, market microstructure, quantitative finance, econometrics, finance, volatility, R, asset returns, ARCH models, GARCH models, high-frequency data, realized variance, tail index",decentral oral exam (100%)
Business Administration / Economics / Law & Economics,6.274,Database Fundamentals for Data Science,Core elective (economic data science),2026.0,Spring,4.0,English,"https://tools.unisg.ch/handlers/Public/CourseInformationSheet.ashx/semester/FS26/eventnumber/6,274,1.00.pdf","Course on database systems for data science focusing on data modeling, relational databases, and SQL. Covers entity-relationship modeling, normalization, and data querying techniques. Emphasizes practical skills in building and querying databases to support data analysis and decision-making","databases, SQL, data modeling, relational databases, data engineering, data analysis, PostgreSQL, data querying, normalization, data processing, data science, analytics, entity-relationship model, relational model, data extraction, data preparation",decentral exam (30%) + written work (50%) + active participation (20%)
Economics,6.902,Introduction to Big Data Infrastructures,Core elective (economic data science),2026.0,Spring,4.0,English,"https://tools.unisg.ch/handlers/Public/CourseInformationSheet.ashx/semester/FS26/eventnumber/6,902,1.00.pdf","databases, SQL, data modeling, relational databases, data engineering, data analysis, PostgreSQL, data querying, normalization, data processing, data science","big data, data mining, machine learning, MapReduce, clustering, recommender systems, dimensionality reduction, data engineering, large scale data, algorithms, Spark, data analysis",decentral exam (100%)
Economics,6.912,Financial Time Series in Phyton,Core elective (economic data science),2026.0,Spring,4.0,English,"https://tools.unisg.ch/handlers/Public/CourseInformationSheet.ashx/semester/FS26/eventnumber/6,912,1.00.pdf","Course on financial time series analysis using Python, focusing on risk management, portfolio allocation, and machine learning applications. Covers modeling of financial data, simulation techniques, and evaluation of predictive models. Emphasizes practical implementation using Python and Jupyter notebooks","python, financial time series, machine learning, risk management, portfolio optimization, data analysis, simulation, financial modeling, predictive modeling, quantitative finance, Jupyter notebooks",decentral oral exam (60%) + decentral group work (40%)
Business Administration / Economics,4.309,The Politics of Climate Change,Core elective (Economic Policy),2026.0,Spring,4.0,English,"https://tools.unisg.ch/handlers/Public/CourseInformationSheet.ashx/semester/FS26/eventnumber/4,309,1.00.pdf","Course on climate politics focusing on political science theories and their application to climate governance. Covers international climate agreements, domestic policy-making, and the role of institutions, power, and stakeholders. Emphasizes analysis of political processes and development of policy-oriented insights on climate action","climate politics, political science, public policy, international relations, governance, sustainability, climate policy, institutions, stakeholder analysis, policy analysis, global governance, politics, global policy",group presentation (30%) + group written work (30%) + written work (30%) + active participation (10%)
Business Administration / Economics / Law & Economics,6.246,Monetary Economics,Core elective (Economic Policy),2026.0,Spring,4.0,English,"https://tools.unisg.ch/handlers/Public/CourseInformationSheet.ashx/semester/FS26/eventnumber/6,246,1.00.pdf","Course on monetary economics focusing on central banking, inflation, and monetary policy. Covers Keynesian models, nominal rigidities, and unconventional monetary policy tools. Emphasizes understanding the role of central banks and the interaction between monetary policy and the real economy","monetary economics, central banking, inflation, monetary policy, macroeconomics, Keynesian economics, economic policy, financial systems, macroeconomic analysis, economic theory, central banks, finance, monetary theory, price level, nominal rigidities, central bank balance sheets, unconventional monetary policy",decentral exam (100%)
Business Administration / Economics,6.25,Democratic Choice and Social Welfare,Core elective (Economic Policy),2026.0,Spring,4.0,English,"https://tools.unisg.ch/handlers/Public/CourseInformationSheet.ashx/semester/FS26/eventnumber/6,250,1.00.pdf","Course on social choice theory focusing on democratic decision-making and welfare evaluation. Covers voting systems, Arrow’s impossibility theorem, and aggregation of individual preferences. Emphasizes the analysis of political and economic decision-making processes and their implications for social welfare","social choice, voting theory, welfare economics, political economy, decision theory, Arrow theorem, public policy, economic theory, democratic systems, game theory, collective decision making, policy",group presentation (45%) + decentral exam (45%) + active participation (10%)
Business Administration / Economics / Law & Economics,6.258,Evaluation of Labour Policy,Core elective (Economic Policy),2026.0,Spring,4.0,English,"https://tools.unisg.ch/handlers/Public/CourseInformationSheet.ashx/semester/FS26/eventnumber/6,258,1.00.pdf","normative economics, welfare economics, inequality, ethics, public policy, social preferences, utilitarianism, economic theory, policy evaluation, social welfare, economic reasoning","labor economics, econometrics, causal inference, R programming, regression analysis, labor markets, unemployment, policy evaluation, difference in differences, instrumental variables, data analysis, R, labour economics, labour market policy, Rubin causal model, difference-in-differences, regression discontinuity, field experiments, minimum wage",decentral written work (50%) + group presentation (50%)
Economics,6.264,Introduction to Normative Economics,Core elective (Economic Policy),2026.0,Spring,4.0,English,"https://tools.unisg.ch/handlers/Public/CourseInformationSheet.ashx/semester/FS26/eventnumber/6,264,1.00.pdf","Course on normative economics focusing on ethical evaluation of economic policies and outcomes. Covers welfare economics, social preferences, inequality, and ethical frameworks such as utilitarianism. Emphasizes applying economic reasoning to policy questions involving fairness, rights, and social welfare","normative economics, welfare economics, inequality, ethics, public policy, social preferences, utilitarianism, economic theory, policy evaluation, social welfare, economic reasoning",decentral exam (40%) + active participation (10%) + group presentation (50%)
Business Administration / Economics / Law & Economics,4.145,Wirtschafts- und Steuerrecht,Core elective (law for economists),2026.0,Spring,8.0,German,"https://tools.unisg.ch/handlers/Public/CourseInformationSheet.ashx/semester/FS26/eventnumber/4,145,1.00.pdf","Course on business and tax law focusing on legal frameworks relevant to corporate activity. Covers company law, corporate governance, mergers and acquisitions, and taxation of individuals and firms. Emphasizes applying legal knowledge to business contexts and understanding legal risks and regulatory environments","business law, corporate law, tax law, mergers and acquisitions, corporate governance, legal analysis, regulation, financial law, compliance, economic law, corporate structures, law, tax, governance, Swiss business law, company law, M&A, group law, public companies, insider trading, Swiss tax system, individual taxation, corporate taxation, VAT, withholding tax",central exam (100%)
Business Administration / Economics,4.314,European Law,Core elective (law for economists),2026.0,Spring,4.0,English,"https://tools.unisg.ch/handlers/Public/CourseInformationSheet.ashx/semester/FS26/eventnumber/4,314,1.00.pdf","Course on European Union law focusing on institutional and substantive legal frameworks. Covers EU institutions, legal principles, internal market rules, and competition law. Emphasizes case law analysis and understanding the role of EU courts in shaping European integration","eu law, european integration, legal analysis, competition law, internal market, free movement, case law, legal reasoning, public law, regulatory frameworks, EU law, regulation, institutions, governance, policy",decentral exam (100%)
Economics / Law & Economics,6.402,Steuerrecht,Core elective (law for economists),2026.0,Spring,4.0,English,"https://tools.unisg.ch/handlers/Public/CourseInformationSheet.ashx/semester/FS26/eventnumber/6,402,1.00.pdf","eu law, legal analysis, case law, european union, legal reasoning, institutional law, legal interpretation, court decisions, public law, regulatory frameworks","tax law, taxation, corporate taxation, income tax, VAT, legal analysis, fiscal policy, accounting, financial regulation, tax compliance, economic law, Swiss tax system, corporate tax, withholding tax, tax restructuring, case solving",central exam (100%)
Business Administration / Economics,6.424,Europarecht,Core elective (law for economists),2026.0,Spring,4.0,English,"https://tools.unisg.ch/handlers/Public/CourseInformationSheet.ashx/semester/FS26/eventnumber/6,424,1.00.pdf","Course on European Union law focusing on the institutional structure, legal principles, and case law of the EU. Covers the functioning and development of EU law through analysis of court decisions and legal reasoning. Emphasizes legal interpretation, case-based thinking, and understanding the unique characteristics of EU law","eu law, legal analysis, case law, european union, legal reasoning, institutional law, legal interpretation, court decisions, public law, regulatory frameworks, EU law, regulation, institutions, governance",decentral exam (100%)
Business Administration / Economics / Law & Economics,4.1,Marketing,Electives,2026.0,Spring,4.0,English,"https://tools.unisg.ch/handlers/Public/CourseInformationSheet.ashx/semester/FS26/eventnumber/4,100,1.00.pdf","Introductory course in marketing focusing on consumer behavior, market analysis, and strategic decision-making. Covers marketing concepts such as segmentation, positioning, branding, and marketing mix, with practical application through case studies and exercises","marketing, consumer behavior, market analysis, branding, strategic marketing, marketing mix, segmentation, positioning, business strategy, market research, strategy, brand management, case studies",written work (10%) + central exam (75%) + group presentation (15%)
Business Administration / Economics / Law & Economics,4.11,Strategic Management,Electives,2026.0,Spring,4.0,English,"https://tools.unisg.ch/handlers/Public/CourseInformationSheet.ashx/semester/FS26/eventnumber/4,110,1.00.pdf","marketing, consumer behavior, market analysis, branding, strategic marketing, marketing mix, segmentation, positioning, business strategy, market research","strategy, competitive advantage, business models, strategic analysis, innovation, decision making, consulting, leadership, corporate strategy, problem solving, analysis, digitalization, organizational change, case studies",central exam (100%)
Economics,4.14,Einführung in das Operations- Management,Electives,2026.0,Spring,4.0,German,"https://tools.unisg.ch/handlers/Public/CourseInformationSheet.ashx/semester/FS26/eventnumber/4,140,1.00.pdf","eadership, human resources, organizational behavior, team management, motivation, change management, communication, people management, HR strategy, organizational culture","operations management, supply chain, forecasting, inventory management, production planning, optimization, data analysis, process improvement, logistics, decision making",quiz (10%) + central exam (90%)
Business Administration / Economics,4.302,European Governance,Electives,2026.0,Spring,4.0,English,"https://tools.unisg.ch/handlers/Public/CourseInformationSheet.ashx/semester/FS26/eventnumber/4,302,1.00.pdf","operations management, supply chain, forecasting, inventory management, production planning, optimization, data analysis, process improvement, logistics, decision making","european governance, political science, policy analysis, EU institutions, decision making, international relations, public policy, political systems, governance, european integration, EU, policy, institutions, political economy, Europe",decentral exam (60%) + decentral exam (40%)
Business Administration / Economics,4.303,Regieren in Europa,Electives,2026.0,Spring,4.0,German,"https://tools.unisg.ch/handlers/Public/CourseInformationSheet.ashx/semester/FS26/eventnumber/4,302,1.00.pdf","Course on European governance focusing on institutional structures, political processes, and policy-making within the EU. Emphasizes analysis of multilevel governance systems and current political challenges in Europe","european governance, political analysis, public policy, EU institutions, decision making, international relations, governance systems, political science, european integration, EU, politics, governance, institutions, policy, Europe",decentral exam (60%) + decentral exam (40%)
